Internal ID,Name,Display Name,Description,Type,On Hand,Available,Preferred Location
441,PKGFLWAMCT,PKGFLWAMCT,Build-a-Bouquet Master Carton - 200E,Inventory Item,59.82582,59.82582,Pride Industries
413,PKGFLWARIS01,PKGFLWARIS01,Build-a-Bouquet Retail Insert - Flower Part holder - 150E,Inventory Item,1891,1891,Pride Industries
411,PKGFLWARIS02,PKGFLWARIS02,Build-a-Bouquet Retail Insert - 4 Color Storage Box for parts,Inventory Item,4747,4747,Pride Industries
451,PKGFLWARTL,PKGFLWARTL,Build-a-Bouquet Retail Package - 150E,Inventory Item,2557,2392,Pride Industries
4256,PKGFLWSLVA,PKGFLWSLVA,BuildaBouquet_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,-4608,,Pride Industries
4223,PKGFMDSLV,PKGFMDSLV,Flower Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,Pride Industries
4222,PKGMMDSLV,PKGMMDSLV,Meal Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,Pride Industries
4226,PKGMTDSLV,PKGMTDSLV,Tool Essentials Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item,3850,3850,Pride Industries
4224,PKGRMDSLV,PKGRMDSLV,Race Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,Pride Industries
1036,PKGSLDA-OVSP,PKGSLDA-OVSP,Salad Set Folding Oil & Vinegar Bottle and Salt & Pepper Shakers,Inventory Item,-2004,,Pride Industries
452,PKGSLDAMCT,PKGSLDAMCT,Salad Set Master Carton - 200T,Inventory Item,935.97332,935.97332,Pride Industries
453,PKGSLDARTL,PKGSLDARTL,Salad Set Retail Carton - 150E,Inventory Item,2710,2710,Pride Industries
4263,PKGSLDSLVA,,Salad Set Sleeve_23165621-16_OL_LQ_20170630  ,Inventory Item,-768,,Pride Industries
