Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
239,SCP01R-PR SCP01R-PR,SCP01R-PR,SCP01R-PR,Screwdriver Phillips - Purple - CC10107344WE,Inventory Item,5696,5696,Pride Industries,153 Tigers Hayward,5696,103,pride2tigers
252,HAN01R-GR HAN01R-GR,HAN01R-GR,HAN01R-GR,Tool Box Handle - Green - CC10106972WE,Inventory Item,5907,5907,Pride Industries,153 Tigers Hayward,5907,104,pride2tigers
1034,PKGSTPRTL02 PKGSTPRTL02,PKGSTPRTL02,PKGSTPRTL02,Pizza Parlor Retail Package - New Design - 150T,Inventory Item,5914,5914,Pride Industries,153 Tigers Hayward,5914,105,pride2tigers
284,SAW01R-GR SAW01R-GR,SAW01R-GR,SAW01R-GR,Saw - Green - CC10106972WE,Inventory Item,6306,6306,Pride Industries,153 Tigers Hayward,6306,106,pride2tigers
420,PKGTEARTL02 PKGTEARTL02,PKGTEARTL02,PKGTEARTL02,Tea Set Retail Package - BU1493 BLUE - for TEAB-1074,Inventory Item,6333,6333,Pride Industries,153 Tigers Hayward,6333,107,pride2tigers
274,TBX01R-PK TBX01R-PK,TBX01R-PK,TBX01R-PK,Toolbox - Pink - CC10107335WE,Inventory Item,6397,6397,Pride Industries,153 Tigers Hayward,6397,108,pride2tigers
618,FLWA-1012 FLWA-1012,FLWA-1012,FLWA-1012,Green Toys Build-a-Bouquet,Assembly/Bill of Materials,6428,2570,Pride Industries,153 Tigers Hayward,6428,109,pride2tigers
246,PEP01R-R PEP01R-R,PEP01R-R,PEP01R-R,Sandwich Shop and Pizza Parlor Red Peppers,Inventory Item,6436,6436,Pride Industries,153 Tigers Hayward,6436,110,pride2tigers
268,HAM01R-PR HAM01R-PR,HAM01R-PR,HAM01R-PR,Hammer - Purple - CC10107344WE,Inventory Item,6959,6959,Pride Industries,153 Tigers Hayward,6959,111,pride2tigers
415,PKGTLSRTL02 PKGTLSRTL02,PKGTLSRTL02,PKGTLSRTL02,Tool Set Retail Carton w/Insert - New Design - 150E,Inventory Item,6971,6971,Pride Industries,153 Tigers Hayward,6971,112,pride2tigers
273,PLI01R-GR PLI01R-GR,PLI01R-GR,PLI01R-GR,Pliers - Green - CC10106972WE,Inventory Item,7057,7057,Pride Industries,153 Tigers Hayward,7057,113,pride2tigers
238,SCP01R-GR SCP01R-GR,SCP01R-GR,SCP01R-GR,Screwdriver Phillips - DK Green - CC10118086WE,Inventory Item,7067,7067,Pride Industries,153 Tigers Hayward,7067,114,pride2tigers
1037,TBX01R-BL TBX01R-BL,TBX01R-BL,TBX01R-BL,Toolbox - CC10133673WE Blue ,Inventory Item,7186,7186,Pride Industries,153 Tigers Hayward,7186,115,pride2tigers
4264,PKGCLSDSHRT PKGCLSDSHRT,PKGCLSDSHRT,PKGCLSDSHRT,Closed Short_V17003916_Retail ,Inventory Item,7592,17000,Pride Industries,153 Tigers Hayward,7592,116,pride2tigers
279,SAW01R-YW SAW01R-YW,SAW01R-YW,SAW01R-YW,Saw - Yellow - CC10106976WE,Inventory Item,7618,7618,Pride Industries,153 Tigers Hayward,7618,117,pride2tigers
298,MSH01R MSH01R,MSH01R,MSH01R,Pizza Parlor Mushrooms,Inventory Item,7922,7922,Pride Industries,153 Tigers Hayward,7922,118,pride2tigers
316,CHS01R-S CHS01R-S,CHS01R-S,CHS01R-S,Sandwich Shop Cheese,Inventory Item,7979,7979,Pride Industries,153 Tigers Hayward,7979,119,pride2tigers
4220,PKGDSTRTL PKGDSTRTL,PKGDSTRTL,PKGDSTRTL,Dough Set Retail Carton; 1C Flexo kraft; 23165621-12-F-Box ,Inventory Item,8000,8000,Pride Industries,153 Tigers Hayward,8000,120,pride2tigers
313,PKL01R PKL01R,PKL01R,PKL01R,Sandwich Shop Pickles,Inventory Item,8246,8246,Pride Industries,153 Tigers Hayward,8246,121,pride2tigers
262,HAM01R-GR HAM01R-GR,HAM01R-GR,HAM01R-GR,Hammer - DK Green - CC10118086WE,Inventory Item,8320,8320,Pride Industries,153 Tigers Hayward,8320,122,pride2tigers
269,PLI01R-YW PLI01R-YW,PLI01R-YW,PLI01R-YW,Pliers - Yellow - CC10106976WE,Inventory Item,8366,8366,Pride Industries,153 Tigers Hayward,8366,123,pride2tigers
272,WRE01R-YW WRE01R-YW,WRE01R-YW,WRE01R-YW,Wrench - Yellow - CC10106976WE,Inventory Item,8445,8445,Pride Industries,153 Tigers Hayward,8445,124,pride2tigers
221,MES01R MES01R,MES01R,MES01R,"16"" mesh bag, 100% recycled, clear, heat sealed on one side",Inventory Item,8494,17902,Pride Industries,153 Tigers Hayward,8494,125,pride2tigers
275,WRE01R-GR WRE01R-GR,WRE01R-GR,WRE01R-GR,Wrench - Green - CC10106972WE,Inventory Item,8645,8645,Pride Industries,153 Tigers Hayward,8645,126,pride2tigers
333,LILY-PLG-PR LILY-PLG-PR,LILY-PLG-PR,LILY-PLG-PR,Lily Plug - Purple,Inventory Item,8849,8849,Pride Industries,153 Tigers Hayward,8849,127,pride2tigers
247,SCF01R-GR SCF01R-GR,SCF01R-GR,SCF01R-GR,Screwdriver Flat - DK Green - CC10118086WE,Inventory Item,9232,9232,Pride Industries,153 Tigers Hayward,9232,128,pride2tigers
241,TOM01R-R TOM01R-R,TOM01R-R,TOM01R-R,Sandwich Shop and Pizza Parlor Red Tomatoes,Inventory Item,9533,9533,Pride Industries,153 Tigers Hayward,9533,129,pride2tigers
311,PETUNIA-PLG-PR PETUNIA-PLG-PR,PETUNIA-PLG-PR,PETUNIA-PLG-PR,Petunia Plug - Purple,Inventory Item,9592,9592,Pride Industries,153 Tigers Hayward,9592,130,pride2tigers
347,PETUNIA-PR PETUNIA-PR,PETUNIA-PR,PETUNIA-PR,Petunia - Purple,Inventory Item,10021,10021,Pride Industries,153 Tigers Hayward,10021,131,pride2tigers
295,DAISY-SML-PR DAISY-SML-PR,DAISY-SML-PR,DAISY-SML-PR,Daisy - Small - Purple,Inventory Item,10166,10166,Pride Industries,153 Tigers Hayward,10166,132,pride2tigers
305,LILY-LRG-PR LILY-LRG-PR,LILY-LRG-PR,LILY-LRG-PR,Lily - Large - Purple,Inventory Item,10549,10549,Pride Industries,153 Tigers Hayward,10549,133,pride2tigers
322,DAISY-PLG-PR DAISY-PLG-PR,DAISY-PLG-PR,DAISY-PLG-PR,Daisy Plug - Purple,Inventory Item,10830,10830,Pride Industries,153 Tigers Hayward,10830,134,pride2tigers
