Internal ID,Preferred Location,Name,Display Name,Description,Type,Base Price,CasePack,Harmonized Tariff Code,MSRP,Test Report,Product Line
285,Pride Industries,SPK01R-SLDA,SPK01R-SLDA,Orange Spork for Salad Set,Inventory Item,,,9503.00.0000,,,
1581,Pride Industries,SPN01R-PK,SPN01R-PK,Pink Spoon,Inventory Item,0.00,,9503.00.0000,0,,
354,Pride Industries,SPN01R-PK2,SPN01R-PK2,PBK Pink Spoon,Inventory Item,,,9503.00.0000,,,
286,Pride Industries,SPN01R-SLDA,SPN01R-SLDA,Orange Spoon for Salad Set,Inventory Item,,,9503.00.0000,,,
301,Pride Industries,STPA-OP,STPA-OP,Pizza Parlor Order Pad,Inventory Item,,,9503.00.0000,,,
290,Pride Industries,STSA-OP,STSA-OP,Sandwich Shop Order Pad,Inventory Item,,,9503.00.0000,,,
1583,Pride Industries,SUG01R-PK,SUG01R-PK,Pink Sugar Bowl Base,Inventory Item,0.00,,9503.00.0000,0,,
223,Pride Industries,SUG02R-PK2,SUG02R-PK2,PBK Pink Sugar Bowl Base 2013 - Holes added 07/15/2013,Inventory Item,,,9503.00.0000,,,
222,Pride Industries,SUG02R-Y,SUG02R-Y,Sugar Bowl Base - Holes added - Yellow 129C - CC10106976WE,Inventory Item,,,9503.00.0000,,,
1037,Pride Industries,TBX01R-BL,TBX01R-BL,Toolbox - CC10133673WE Blue ,Inventory Item,,,9503.00.0000,,,
274,Pride Industries,TBX01R-PK,TBX01R-PK,Toolbox - Pink - CC10107335WE,Inventory Item,,,9503.00.0000,,,
4300,Pride Industries,TEARTLINSB,TEARTLINSB,2017 Tea Retail (Blue) with Inserts,Inventory Item,,,9503.00.0000,,,
4301,Pride Industries,TEARTLINSP,TEARTLINSP,2017 Tea Retail (Purple) with Inserts ,Inventory Item,,,9503.00.0000,,,
280,Pride Industries,TOM01R-G,TOM01R-G,Pizza Parlor Green Tomatoes,Inventory Item,,,9503.00.0000,,,
