"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
STC2-1221,"Green Toys Stacking Cups - Pink and Purple
",,,,,,,3948
STCA-8586,"GT  Stacking Cups - Assortment",,,.88,,,,68
STCC-1279,"Stacking Cups - Coral",,,,,,,4174
STCL-1113,"CL Custom Stacker - Red/Yellow/Blue/Green",,,,,,,770
STK01R,"GT  Stacker",,,.59,,,,140
STK2-1223,"Green Toys Stacker - Red White Green
",,,,,,,3947
STPA-1477,"Green Toys Pizza Parlor",,,1.81,,,,1039
STPA2-1289,"Green Toys Pizza Parlor 4C
",,,1.81,,,,4275
STPSA2-1300,"STPA2 STSA2 Mixed Case - 2 each",,,5.4,,,,4299
STSA-8587,"Green Toys Sandwich Shop",,,.89,,,,1040
STSA2-1288,"Green Toys Sandwich Shop 4C
",,,.89,,,,4276
STSB-1181,"Green Toys Submarine - Assortment Stacking Package
",,,,,,,3600
STSB4-1181,"Green Toys Submarine - Assortment Stacking Package
",,,,,,,4020
STUG-1180,"Green Toys Tug Boat - Assorted, Stacking Package
",,,,,,,3601
STUG4-1180,"Green Toys Tug Boat - Assorted, Stacking Package
",,,,,,,4021
STVA-1059,"GT  Stove Top - Assortment",,,1.32,,,,81
STVP-1058,"GT  Stove Top - Pink",,,1.32,,,,111
STVT-1057,"GT  Stove Top - Teal",,,1.32,,,,112
SUBA-1034,"GT  Submarine - Assortment",,,.83,,,,83
SUBB-1032,"GT  Submarine - Blue",,,.83,,,,114
SUBP-1135,"GT  Submarine - Purple/Blue",,,.83,,,,826
SUBY-1033,"GT  Submarine - Yellow",,,.83,,,,101
SWB1-1174,"Sand & Water Play Sand Bucket w. Stacking Cups....",,,0,,,,2353
SWB2-1175,"Sand & Water Play Sand Bucket w. Sport Boats & Tools......",,,0,,,,2354
SWB3-1252,"Sand & Water Super Sets: Bucket with Cups (TYC)

",,,0,,,,4045
SWBS-1178,"Sand & Water Play Buckets sold separately....",,,0,,,,2355
SWD1-1176,"Sand & Water Play Dump Truck w. Scooper....",,,0,,,,2356
SWD2-1177,"Sand & Water Play Dump Truck w. Boat & Sand Tools....",,,0,,,,2357
SWD3-1254,"Sand & Water Deluxe Sets: Dump Truck (YT) with Scooper

",,,0,,,,4047
SWD4-1253,"Sand & Water Deluxe Sets: Dump Truck (OB) with Boat (BB)


",,,0,,,,4081
SWDB-1251,"Sand & Water Essentials: Dumper - Blue
",,,0,,,,4043
SWDR-1169,"Sand & Water Play Dumper w. Rake and Shovel..",,,0,,,,2358
SWRB-1171,"Sand & Water Play Rescue Boat w. Helicopter....",,,0,,,,2359
SWRB2-1266,"Sand & Water Play Rescue Boat w. Helicopter V2

",,,0,,,,4091
SWSB-1172,"Sand & Water Play Sport Boats w. Rake and Shovel......",,,0,,,,2360
SWSC-1170,"Sand & Water Play Scooper w. Rake and Shovel....",,,0,,,,2361
SWSC2-1265,"Sand & Water Play Scooper w. Rake and Shovel V2
",,,0,,,,4090
SWSE-1173,"Sand & Water Seaplane w. Rake and Shovel....",,,0,,,,2362
TBPA-1503,"Green Eats Tabletop Set",,,1.86,,,,129
TEA01R,"Green Toys Tea Set - Pink",,,2.38,,,,513
TEAB-1074,"Green Toys Tea Set - Blue - 17 piece set",,,2.38,,,,1048
TEAP-1483,"Green Toys Tea Set - Pink - 17 piece set",,,0,,,,2363
TFT1-1216,"Tea For Two - 4 units/case
",,,0,,,,4058
TFT3-1216,"Tea For Two - 3 units/case
",,,0,,,,4057
TKBK-1188,"Green Toys Construction Truck and Book Display......",,,,,,,3066
TLSB-1019,"Green Toys Tool Set - Blue - 14 pieces",,,1.89,,,,1042
TLSB2-1286,"Green Toys Tool Set - Blue 4C
",,,1.89,,,,4278
TLSP-1011,"Green Toys Tool Set Pink - 14 pieces",,,1.89,,,,1043
TLSP2-1287,"Green Toys Tool Set - Pink 4C
",,,1.89,,,,4277
TNBK-1189,"Green Toys Train and Book Set....",,,,,,,3067
TPCL-1123,"GT  Custom Tug Boat - Citrus Lane - (Pink/Blue/Yellow)",,,,,,,774
TRK1-1179,"Green Toys Truck Assortment 01........
",,,,,,,3602
TRNA-1056,"GT  Train - Assortment",,,2.04,,,,100
TRNB-1054,"GT  Train - Blue",,,2.04,,,,132
TRNP-1055,"GT  Train - Pink",,,2.04,,,,133
TRNRG-1293,"Train - Red, White, and Green
",,,2.04,,,,4268
TRSA-1002,"Green Toy Truck Set - Dump Truck +  Recyling Truck",,,,,,,775
TRTO-1042,"GT  Tractor - Orange",,,1.16,,,,113
TRTO4-1042,"GT  Tractor - Orange",,,1.16,,,,4018
TRTP-1137,"GT  Tractor - Pink",,,1.16,,,,824
TRWB-1186,"Green Toys Tug Boat - Assorted, Red White Blue..
",,,,,,,3501
TRYA-1540,"Green Eats Divided Tray - Assorted Case - 2 Units/Color",,,.69,,,,19
TRYB-1506,"Green Eats Divided Tray - 1 per set - Blue",,,.69,,,,46
TRYG-1543,"Green Eats Divided Tray - 1 per set - Green",,,.69,,,,44
TRYO-1541,"Green Eats Divided Tray - 1 per set - Orange",,,.69,,,,38
TRYY-1542,"Green Eats Divided Tray - 1 per set - Yellow",,,.69,,,,39
TUG01R-A,"GT  Tug Boat - Assorted Colors",,,.86,,,,69
TUG01R-B,"GT  Tug Boat - Blue Top",,,.86,,,,93
TUG01R-R,"GT  Tug Boat - Red Top",,,.86,,,,102
TUG01R-Y,"GT  Tug Boat - Yellow Top",,,.86,,,,87
TUG2-1222,"Green Toys Tug Boat - Assorted, Red White Green
",,,,,,,3943
TUMA-1535,"Green Eats Tumblers - 2 per set - Assorted Case Pack",,,.28,,,,22
TUMB-1504,"Green Eats Tumblers - 2 per set - Blue",,,.28,,,,63
TUMG-1501,"Green Eats Tumblers - 2 per set - Green",,,.28,,,,58
TUMO-1557,"Green Eats Tumblers - 2 per set - Orange",,,.28,,,,54
TUMY-1558,"Green Eats Tumblers - 2 per set - Yellow",,,.28,,,,55
WABO-1269,"Green Toys Wagon Blue, Orange Wheels


",,,,,,,4105
WAGO-1227,"Green Toys Wagon - Orange
",,,,,,,4075
WAOB-1268,"Green Toys Wagon Orange, Blue Wheels

",,,,,,,4104
WDS1-1255,"Green Toys Wagon Deluxe Set w. Watering Can, Sand Bucket, Rake & Shovel
",,,0,,,,4097
WTCC-1267,"Green Toys Watering Can Coral
",,,,,,,4107
WTCG-1111,"GT  Watering Can - Green",,,1.55,,,,89
WTCT-1256,"Watering Can w. Rake and Shovel - Turquoise

",,,,,,,4076
ZB01-1093,"Zulily Bundle 1 - SUBB/TUGY - UPC#816409010935",,,1.69,,,,3837
ZB02-1094,"Zulily Bundle 2 - STK/SPSA",,,2.31,,,,3838
ZB03-1095,"Zulily Bundle 3 - AIRB/SEAG",,,3.6,,,,3839
ZB04-1096,"Zulily Bundle 4 - TRTO/FLRA",,,2.87,,,,3840
